Anglais	Français	Kabyle	URL-Audio	URL-Image
Cat	Chat	A, a / Amcic  	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/A.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/cat 2.jpg 
Garden	Jardin	Ḥ, ḥ / Tibḥirt	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Ḥa.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/garden1.jpg 
Paris	Paris	P, p / Lpari 	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Pa.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/Paris1.jpg 
Bus / Coach / Autocar 	Bus / Car/  Autocar	Ṛ, ṛ / Lkaṛ 	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Ṛa.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/bus1.jpg 
Pillow	Oreiller	S, s / Tasumta	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Sa.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/pillow.jpg 
Fountain / knitting	Fontaine / tricot	T, t / Tala / atriku	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Ta.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/fountain.jpg 
Apple	Pomme	Tt, tt / Tatteffaḥt 	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Tta.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Alphabet/apple.jpg 
Red	Rouge	Azeggaɣ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/azeggaɣ.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/red.png 
Blue	Bleu	Azegzaw	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/azegzaw.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/blue2.png 
Green	Vert	Azegzaw / Aḥcici / Adal	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/azegzaw_vert.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/green.png 
YELLOW	Jaune	Awraɣ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/awraɣ.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/yellow2.png 
Pink	Rose	Awerdi / Axuxi	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/awerdi.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/pink.png 
White	Blanc	Amellal	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/amellal.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/white.png 
Gray	Gris	Ademdam / Iɣiɣdi	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ademdam.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/color/grey.png 
Lion	Lion	Izem	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/izem.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/lion3.jpg 
Elephant	Éléphant	Ilu / lfil	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ilu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/elephant2.jpg 
Tiger	Tigre	Aksil	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aksil.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/tiger.jpg 
Giraffe	Girafe	Amdeɣ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/amdeɣ.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/giraffe3.jpg 
Zebra	Zèbre	Imisred / aɣyul n lexla	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/imisred.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/zebra.jpg 
Monkey	Singe	Ibki	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ibki.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/monkey.jpg 
Kangaroo	Kangourou	Akanguru	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/akanguru.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/kangoroo.jpg 
Bear	Ours	Ursu	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ursu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/bear.jpg 
Hippopotamus	Hippopotame	Abanɣu	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/abanɣu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/hippo2.jpg 
Crocodile	Crocodile	Aɣucaf	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aɣucaf.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/crocodile.jpg 
Fox	Renard	Abareɣ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/abareɣ.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/fox.jpg 
Cheetah	Guépard	Amayas	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/amayas.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/cheetah3.jpg 
Snake	Serpent	Azrem	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/azrem.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/snake4.jpg 
Dolphin	Dauphin	Azyam	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/azyam.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/dolphins.jpg 
Lizard	Lézard	Amulab / aḥerbebbu / tazermemmuct	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/amulab.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_wild/lizard2.jpg 
Dog	Chien	Aydi / aqjun	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aydi.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_pets/dog.jpg 
Fish	Poisson	Aslem	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aslem.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_pets/fish.jpg 
Tortoise	Tortue	Ifker	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/Ifker.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_pets/tortoise.jpg 
Rabbit	Lapin	Awtul	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/awtul.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_pets/rabbit2.jpg 
Mule	Mulet	Aserdun	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aserdun.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Animal_pets/mule.jpg 
